"id";"descricao";"ativo";"admin";"idPai";"iconNameFontAwesome";"RAMODEATIVIDADE";"link"
1;"Contas";0;1;0;"fa-solid fa-users";"";"/admin/contas"
2;"Menus";0;1;0;"fa-solid fa-list";"";"/admin/menu"
4;"Relatórios";0;0;0;"fa-solid fa-file-invoice";"Balada,Bares,Conveniência,Mercados,Distribuidora,Posto de combustível,Restaurante";"/user/relatorios"
6;"Vinhos";0;0;5;"fa-solid fa-champagne-glasses";"";"/user/bebidas/vinhos"
7;"Drinks";0;0;5;"fa-solid fa-martini-glass-citrus";"";"/user/bebidas/drinks"
9;"Lucros";0;0;3;"fa-solid fa-money-bill-trend-up";"";"/lucros"
11;"Percas";0;0;3;"";"";"/percas"
12;"Café";0;0;5;"fa-solid fa-mug-saucer";"";"/user/bebidas/cafe"
14;"test";0;0;3;"fa-solid fa-money-bill-trend-up";"";"/users/financias/pago"
17;"Admin";0;0;13;"";"";"/users/relatorios/clientes/admin"
19;"Licenças";0;1;0;"fa-solid fa-lock-open";"";"/admin/licencas"
22;"Portal";0;0;0;"fa-solid fa-chart-column";"Todos";"/user/portal"
23;"Vendas";0;0;4;"fa-solid fa-cash-register";"";"/user/relatorios/vendas"
24;"Gastos";0;0;4;"fa-solid fa-cart-arrow-down";"";"/user/relatorios/gastos"
25;"Central de Documentos - Admin";0;1;0;"fa-solid fa-print";"";"/admin/documentos"
26;"Central de Documentos";0;0;0;"fa-solid fa-print";"Todos";"/user/documentos"
27;"Tutoriais";0;0;0;"fa-solid fa-video";"Todos";"/user/tutoriais"
28;"Tutoriais - Admin";0;1;0;"fa-solid fa-video";"Todos";"/admin/tutoriais"
29;"Internos - Admin";0;1;0;"fa-solid fa-puzzle-piece";"Todos";"/admin/setores"
31;"Chamados - Admin";0;1;0;"fa-solid fa-tower-cell";"Todos";"/admin/chamados"
32;"Chamados";1;0;0;"fa-solid fa-tower-cell";"";"/interno/chamados"
33;"Portal Chamados";0;1;0;"fa-solid fa-chart-area";"";"/admin/portal-chamados"
